option,video_id,chaine,abonnes,publiee,entite,signaux,force,indices_commerciaux,titre,url,extrait
23,pPWcorCvo1g,Studio Danielle,1740000,2021-01-08,Actimel,Actimel,fort,,Danielle en live avec ses potes,https://www.youtube.com/watch?v=pPWcorCvo1g,…19 heures.  ⏎ Il y aura plein d'invités surprises et des cadeaux à gagner avec Actimel ! ⏎ #EnsembleNeLâchonsRien ⏎ #StrongerTogether
23,x6N7UloAJ6I,Juste Zoé,1560000,2025-11-09,CNIEL,Nos amis pour la vie,fort,collaboration,UNE SEMAINE DE FOLIE AU MAROC,https://www.youtube.com/watch?v=x6N7UloAJ6I,…lection?utm_source=Influence_Youtube&utm_medium=cpc&utm_campaign=JusteZo_G ⏎  ⏎ Nos amis pour la vie : https://www.nosamispourlavie.org ⏎  ⏎ Mes réseaux :  ⏎ Instagram : @justezoe https://bit.ly/3ff83UC ⏎ Tiktok : @justezoe https://bit.ly/2…
23,5pwLIrm_GBA,JohanPapz,1480000,2019-06-09,Herta,Herta,faible,sponsor,JE FAIS DES PIZZAS DANS DES ENDROITS WTF 😂🍕,https://www.youtube.com/watch?v=5pwLIrm_GBA,…NDROITS WTF 😂🍕 ⏎ 🌟yo les gars !! aujourd'hui je vous poste ma vidéo challenge !!! Herta m'a mis au défi de faire des pizzas dans 3 endroits WTF ! à votre avis défi relevé ? 😏 ⏎   ⏎ 🌟 Tu peux aussi venir me faire la bise sur Insta: https://www…
23,RPtRXiOgR68,Doigby,1390000,2023-02-18,Babybel,Babybel,faible,partenariat | remerciement,🚜 ON SOUTIENT LES AGRICULTEURS AVEC BABYBEL ! (Farming Simulator),https://www.youtube.com/watch?v=RPtRXiOgR68,🚜 ON SOUTIENT LES AGRICULTEURS AVEC BABYBEL ! (Farming Simulator) ⏎ 💙 → Je sors mon chapeau de paille pour devenir agriculteur sur Farming Simulator ! On va produire des fromages Babybel en soutien aux éleveurs ! ⏎ 🎁 → Des GIVEAWAY & EVENTS e…
23,s86RvXtXCKU,Doigby,1390000,2022-03-16,Babybel,Babybel,faible,partenariat | remerciement,🔥 UNE MAP DE FOU SUR FORTNITE ! (Babybel Reloaded),https://www.youtube.com/watch?v=s86RvXtXCKU,"🔥 UNE MAP DE FOU SUR FORTNITE ! (Babybel Reloaded) ⏎ 💙 →  6 viewers vont devoir ramener la paix dans les terres Babybel ! ⏎ 🎁 → Des GIVEAWAY & EVENTS exclusifs sur : https://discord.gg/doigby ⏎ 💻 → Asus ROG, partenaire de la chaîne : https://…"
23,Fk8v1sJwm2c,Mllex Chloé,887000,2015-11-07,Danette,Danette,faible,code_promo,Danette à la vanille à la place d'un tie & dye? tout sur mes cheveux,https://www.youtube.com/watch?v=Fk8v1sJwm2c,"Danette à la vanille à la place d'un tie & dye? tout sur mes cheveux ⏎ N’oublie pas de me rejoindre sur instagram, twitter, Facebook  et  snapchat! ⏎  ⏎ ✂ ✄ ✂ ✄ ✂ ✄ ✂ ✄ ✂ ✄ ✂ ✄ ✂ ✄ ✂ ✄ ✂ ✄ ✂ ✄ ✂ ✄ ⏎  ⏎ ******* CODE PROMOS DE -10EUROS (SUR VOT…"
23,Wd0dAadW5JQ,Kameto - Replays et VODs,385000,2026-04-13,Yoplait,Yoplait,faible,collaboration,LA KTV EST DE RETOUR SUR ROBLOX (C'EST ENCORE N'IMPORTE QUOI 🤣),https://www.youtube.com/watch?v=Wd0dAadW5JQ,"…! ⏎  ⏎ En ce moment, plein de goodies sont à gagner sur le https://grandjeuyop.yoplait.fr/ et vous pourrez bientôt retrouver les skins Roblox IRL ! ⏎  ⏎ Pour votre santé, mangez au moins cinq fruits et légumes par jour. www.mangerbouger.fr…"
23,9XviQwGHG0U,Encuisineaugustine,33300,2025-10-27,Le Gaulois,Le Gaulois,faible,collaboration,TONKATSU VEGE  #recette #recettehealthy #recettefacile #easyrecipe #food #cuisine #cuisinejaponaise,https://www.youtube.com/watch?v=9XviQwGHG0U,…E 🍛 ⏎   ⏎ Un de mes plats favoris du Japon mais en version végétarienne grâce à Le Gaulois et riche en protéines ! ✨ ⏎   ⏎ INGREDIENTS : ⏎   ⏎ - Le pané Le Gaulois Végétal ⏎ - Riz à sushi ⏎ - Carotte ⏎ - Vinaigre de riz ⏎ - Kimchi ⏎ - Grain…
23,iOQ5AQIk_zk,Emeline Franque,6260,2023-02-28,CNIEL,Les Produits Laitiers | Nos amis pour la vie | Produits Laitiers,fort,,Les produits laitiers sont nos amis pour la vie ! #bébé #biberon #dme #diversification #nourriture,https://www.youtube.com/watch?v=iOQ5AQIk_zk,Les produits laitiers sont nos amis pour la vie ! #bébé #biberon #dme #diversification #nourriture
23,5eJ95x17wg4,,0,2026-02-08,Actimel,Actimel,fort,,LA RECETTE ACTIMEL EN TROMPE L’ŒIL,https://www.youtube.com/watch?v=5eJ95x17wg4,LA RECETTE ACTIMEL EN TROMPE L’ŒIL
