fichier,feuille,rang,chaine,abonnes,date,entite,titre,verdict,commentaire
A_VERIFIER.xlsx,a verifier,12,Valouzz,3280000,2024-03-20,INTERBEV,Je mange comme mon perso pendant 15 jours ! (dans quoi je m'embarque),collaboration remuneree,"COLLABORATION COMMERCIALE
 ———
Vous aviez déjà remarqué vous qu’on passait beaucoup plus de temps à cuisiner dans les jeux-vidéo que dans la vraie vie ? Et même souvent plus équilibré…
 
On passe des heures à chercher les meilleurs ingrédients pour concocter des petits plats flexitariens à nos persos, et nous pendant ce temps, on se contente d’un plat vite fait entre deux games.
 
Et si on inversait ça ?
 
Manger flexitarien, c’est choisir des ingrédients de qualité IRL pour se faire plaisir en mangeant varié et dans les bonnes quantités.
C’est manger équilibré, avec une viande locale et durable, comme on le fait déjà in-game.
 
Et en plus c’est meilleur pour soi et pour nos territoires. Un véritable cheat-code.
 
Toi aussi, partage ton challenge avec #MangeCommeTonPerso
 
Découvrez-en plus sur https://naturellement-flexitariens.fr
Aimez la viande. Mangez en mieux. (regarde ce site, c'est une grosse blague)"
A_VERIFIER.xlsx,a verifier,13,Inoxtag 2.0,3140000,2024-03-23,CLIPP,On a reconstruit les Backroom dans la vraie vie ! (Making-of 48H) !,je ne sais pas,Pareil que pour l'autre vidéo dont c'est le making-of
A_VERIFIER.xlsx,a verifier,14,Inoxtag 2.0,3140000,2026-06-27,CNIEL,Dégustation dans le plus grand buffet d’Europe et je découvre ma nouvelle voiture (ft.GMK),collaboration remuneree,
A_VERIFIER.xlsx,a verifier,15,Nota Bene,2770000,2025-08-13,CIFOG,Le plat le plus gras du 18e siècle,hors sujet,"""Merci à notre partenaire NordVPN de soutenir la chaîne à l'année : https://nordvpn.com/notabenef"" - le plus probable est que ce soit une vidéo sur la nourriture, mais sans rémunération pour ça"
A_VERIFIER.xlsx,a verifier,16,LORIS GIULIANO,1920000,2019-08-22,CNIEL,LORIS - LES FANTASMES - BORDEAUX,collaboration remuneree,
A_VERIFIER.xlsx,a verifier,17,LORIS GIULIANO,1920000,2019-08-26,CNIEL,LORIS - LES RÉSEAUX SOCIAUX - TOULOUSE,collaboration remuneree,
A_VERIFIER.xlsx,a verifier,18,LORIS GIULIANO,1920000,2019-08-29,CNIEL,LORIS - L'ÉCHANGISME - CAP D'AGDE,collaboration remuneree,
A_VERIFIER.xlsx,a verifier,19,LORIS GIULIANO,1920000,2019-09-02,CNIEL,LORIS - HOMOPHOBIE DANS LES STADES - MARSEILLE,collaboration remuneree,
A_VERIFIER.xlsx,a verifier,20,LORIS GIULIANO,1920000,2019-09-06,CNIEL,LORIS - L'ÉCOLOGIE - MONTPELLIER,collaboration remuneree,
A_VERIFIER.xlsx,a verifier,21,LORIS GIULIANO,1920000,2019-09-10,CNIEL,LORIS - LES QUARTIERS NORD - MARSEILLE,collaboration remuneree,
A_VERIFIER.xlsx,a verifier,22,LORIS GIULIANO,1920000,2019-09-12,CNIEL,LORIS - LA CORSE - AJACCIO,collaboration remuneree,
A_VERIFIER.xlsx,a verifier,23,LORIS GIULIANO,1920000,2019-09-24,CNIEL,LORIS - LA PROSTITUTION - LYON,collaboration remuneree,
A_VERIFIER.xlsx,a verifier,24,LORIS GIULIANO,1920000,2019-09-27,CNIEL,LORIS - L'ALCOOL - CLERMONT FERRAND,collaboration remuneree,
A_VERIFIER.xlsx,a verifier,25,LORIS GIULIANO,1920000,2019-09-30,CNIEL,LORIS - JACQUES CHIRAC - STRASBOURG,collaboration remuneree,
A_VERIFIER.xlsx,a verifier,26,LORIS GIULIANO,1920000,2019-10-04,CNIEL,LORIS - L'ARRESTATION - DIJON,collaboration remuneree,
A_VERIFIER.xlsx,a verifier,27,LORIS GIULIANO,1920000,2019-10-10,CNIEL,LORIS - LES SITES DE RENCONTRES - LILLE,collaboration remuneree,
A_VERIFIER.xlsx,a verifier,28,LORIS GIULIANO,1920000,2019-10-16,CNIEL,LORIS - LA FRANCE - BRUXELLES,collaboration remuneree,
A_VERIFIER.xlsx,a verifier,29,LORIS GIULIANO,1920000,2019-10-23,CNIEL,LORIS - LES PRODUITS LAITIERS - CAEN,collaboration remuneree,
A_VERIFIER.xlsx,a verifier,30,LORIS GIULIANO,1920000,2019-10-28,CNIEL,LORIS - INÉGALITÉS HOMMES/FEMMES - ROUEN,collaboration remuneree,
A_VERIFIER.xlsx,a verifier,31,LORIS GIULIANO,1920000,2019-10-31,CNIEL,LORIS - LA PMA - RENNES,collaboration remuneree,
A_VERIFIER.xlsx,a verifier,32,LORIS GIULIANO,1920000,2019-11-04,CNIEL,LORIS - LA FERME - MAËL CARHAIX,collaboration remuneree,
A_VERIFIER.xlsx,a verifier,33,LORIS GIULIANO,1920000,2019-11-14,CNIEL,LORIS - MERCI - NANTES ANGERS PARIS,collaboration remuneree,
A_VERIFIER.xlsx,a verifier,34,LORIS GIULIANO,1920000,2019-11-22,CNIEL,LORIS - LES OFF - TOUR DE FRANCE,collaboration remuneree,
A_VERIFIER.xlsx,a verifier,35,LORIS GIULIANO,1920000,2020-01-15,CNIEL,LORIS - DOUBLE JOUR DE L'AN - AUCKLAND/RAROTONGA,collaboration remuneree,
A_VERIFIER.xlsx,a verifier,36,LORIS GIULIANO,1920000,2020-01-28,CNIEL,LORIS - MONTRÉAL - CANADA,collaboration remuneree,
A_VERIFIER.xlsx,a verifier,37,LORIS GIULIANO,1920000,2020-02-09,CNIEL,LORIS - GUADELOUPE,collaboration remuneree,
A_VERIFIER.xlsx,a verifier,38,LORIS GIULIANO,1920000,2020-02-16,CNIEL,LORIS - LE DRIFT - LOS ANGELES,collaboration remuneree,
A_VERIFIER.xlsx,a verifier,39,LORIS GIULIANO,1920000,2020-03-04,CNIEL,LORIS - LE CARNAVAL - RIO DE JANEIRO,collaboration remuneree,
A_VERIFIER.xlsx,a verifier,40,LORIS GIULIANO,1920000,2021-03-18,CNIEL,LORIS - BIKERS / COWBOYS - TEXAS,collaboration remuneree,
A_VERIFIER.xlsx,a verifier,41,LORIS GIULIANO,1920000,2021-04-11,CNIEL,LORIS - LOVE AND SEX - NEW YORK,collaboration remuneree,
A_VERIFIER.xlsx,a verifier,42,LORIS GIULIANO,1920000,2021-05-24,CNIEL,LORIS - LES TERRASSES - BRUXELLES,collaboration remuneree,
A_VERIFIER.xlsx,a verifier,43,LORIS GIULIANO,1920000,2021-09-24,CNIEL,LORIS - LES BOITES DE NUIT,collaboration remuneree,
A_VERIFIER.xlsx,a verifier,44,LORIS GIULIANO,1920000,2022-01-20,CNIEL,LORIS - AMITIÉ HOMME / FEMME - DAKAR,collaboration remuneree,
A_VERIFIER.xlsx,a verifier,45,LORIS GIULIANO,1920000,2022-02-21,CNIEL,LORIS - LE BONHEUR - MBOUR SÉNÉGAL,collaboration remuneree,
A_VERIFIER.xlsx,a verifier,46,LORIS GIULIANO,1920000,2022-04-14,CNIEL,LORIS - LA SAINT-VALENTIN - ABIDJAN,collaboration remuneree,
A_VERIFIER.xlsx,a verifier,47,LORIS GIULIANO,1920000,2022-05-24,CNIEL,LORIS - LE CARNAVAL - MARTINIQUE,collaboration remuneree,
A_VERIFIER.xlsx,a verifier,48,LORIS GIULIANO,1920000,2022-06-20,CNIEL,LORIS - LA FAVELA - BRÉSIL,collaboration remuneree,
A_VERIFIER.xlsx,a verifier,49,LORIS GIULIANO,1920000,2022-10-26,CNIEL,LORIS - L'AMOUR SANS SEXE - ABIDJAN,collaboration remuneree,
